"Story","Title","Result","Date","Stability","Duration (s)"
"Adding Numbers","Adding two numbers","SUCCESS","2022-12-19T14:27:11.09264+07:00[Asia/Jakarta]","0.0","36.38"
"Terms and Condition","List terms and condition","SUCCESS","2022-12-19T14:27:47.8128304+07:00[Asia/Jakarta]","0.0","41.95"
"Terms and Condition","See detail one of term and condition","SUCCESS","2022-12-19T14:28:30.6407278+07:00[Asia/Jakarta]","0.0","58.27"
"Voucher","Voucher","SUCCESS","2022-12-19T14:29:29.9831913+07:00[Asia/Jakarta]","0.0","55.58"
"Login","Login with phone num","SUCCESS","2022-12-19T14:32:52.6436391+07:00[Asia/Jakarta]","0.0","197.43"
"Logout","Logout","SUCCESS","2022-12-19T14:36:10.1845544+07:00[Asia/Jakarta]","0.0","37.36"
"Register","Register page 1","SUCCESS","2022-12-19T14:36:47.6272778+07:00[Asia/Jakarta]","0.0","211.62"
"Register","Register page 2","SUCCESS","2022-12-19T14:40:19.2701688+07:00[Asia/Jakarta]","0.0","386.65"
"Register","Register with an already","SUCCESS","2022-12-19T14:46:46.5582506+07:00[Asia/Jakarta]","0.0","45.63"
"Faq","Faq","SUCCESS","2022-12-19T14:47:32.2519218+07:00[Asia/Jakarta]","0.0","32.74"
"History","User will see history list","SUCCESS","2022-12-19T14:48:59.5964287+07:00[Asia/Jakarta]","0.0","31.87"
"History","User will validate theire transaction","SUCCESS","2022-12-19T14:49:31.5876059+07:00[Asia/Jakarta]","0.0","40.49"
"Topup","User topup","SUCCESS","2022-12-19T14:50:12.15349+07:00[Asia/Jakarta]","0.0","39.06"
"BPJS","User pay BPJS with valid Id","SUCCESS","2022-12-19T14:50:51.7727828+07:00[Asia/Jakarta]","0.0","46.25"
"BPJS","User pay bpjs with invalid id","SUCCESS","2022-12-19T14:51:38.1396127+07:00[Asia/Jakarta]","0.0","91.11"
"Paket Data","User buy data with valid phone number","SUCCESS","2022-12-19T14:53:09.3549645+07:00[Asia/Jakarta]","0.0","66.33"
"Paket Data","User buy data with invalid number","SUCCESS","2022-12-19T14:54:15.9606836+07:00[Asia/Jakarta]","0.0","109.72"
"Listrik","User pay listrik with valid Id","SUCCESS","2022-12-19T14:57:12.017565+07:00[Asia/Jakarta]","0.0","44.22"
"Listrik","User pay listrik with invalid id","SUCCESS","2022-12-19T14:57:56.4165934+07:00[Asia/Jakarta]","0.0","71.36"
"PDAM","User pay PDAM with valid Id","SUCCESS","2022-12-19T14:59:07.8706521+07:00[Asia/Jakarta]","0.0","42.23"
"PDAM","User pay pdam with invalid id","SUCCESS","2022-12-19T14:59:50.2990382+07:00[Asia/Jakarta]","0.0","40.0"
"PDAM","User pay pdam without choose wilayah","SUCCESS","2022-12-19T15:00:30.4176057+07:00[Asia/Jakarta]","0.0","36.01"
"Pulsa","User buy pulsa with valid phone number","SUCCESS","2022-12-19T15:01:06.5243061+07:00[Asia/Jakarta]","0.0","44.09"
"Pulsa","User buy pulsa with entering a longer phone number than necessary","SUCCESS","2022-12-19T15:01:50.7043589+07:00[Asia/Jakarta]","0.0","120.9"
"Pulsa","User buy pulsa with valid phone number and use voucher","SUCCESS","2022-12-19T15:03:51.7137845+07:00[Asia/Jakarta]","0.0","58.9"
"Shopee","topup shopee","SUCCESS","2022-12-19T15:04:50.708072+07:00[Asia/Jakarta]","0.0","49.11"
